code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,135,1st,2014
BAC,Bachelor Of Arts In Communication,129,1st,2014
POLSCI,Bachelor Of Arts In Political Science,101,1st,2014
BSSW,Bachelor Of Science In Social Work,109,1st,2014
BSA,Bachelor Of Science In Accountancy,86,1st,2014
BSAIS,Bachelor Of Science In Accounting Information System,207,1st,2014
Entrep,Bs In Entrepreneurship,125,1st,2014
BSBA,Bachelor Of Science In Business Administration,320,1st,2014
BSCS,Bachelor Of Science In Computer Science,258,1st,2014
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,234,1st,2014
BSIT,Bachelor Of Science In Information Technology,93,1st,2014
CRIM,Bachelor Of Science In Criminology,86,1st,2014
BEEd,Bachelor Of Elementary Education,173,1st,2014
BSEd,Bachelor Of Secondary Education,237,1st,2014
BSCE,Bachelor Of Science In Civil Engineering,268,1st,2014
BSCpE,Bachelor Of Science In Computer Engineering,116,1st,2014
BSEE,Bachelor Of Science In Electrical Engineering,236,1st,2014
BSHM,Bachelor Of Science In Hospitality Management,118,1st,2014
BSTM,Bachelor Of Science In Tourism Management,210,1st,2014
BSBIO,Bachelor Of Science In Biology,207,1st,2014
BIT,Bachelor In Industrial Technology,212,1st,2014
BSF,Bachelor Of Science In Fisheries,183,1st,2014
BSM,Bachelor Of Science In Midwifery,270,1st,2014
BSN,Bachelor Of Science In Nursing,233,1st,2014
BSAg,Bachelor of Science in Agriculture,221,2nd,2014
BAC,Bachelor Of Arts In Communication,250,2nd,2014
POLSCI,Bachelor Of Arts In Political Science,112,2nd,2014
BSSW,Bachelor Of Science In Social Work,188,2nd,2014
BSA,Bachelor Of Science In Accountancy,192,2nd,2014
BSAIS,Bachelor Of Science In Accounting Information System,231,2nd,2014
Entrep,Bs In Entrepreneurship,185,2nd,2014
BSBA,Bachelor Of Science In Business Administration,438,2nd,2014
BSCS,Bachelor Of Science In Computer Science,86,2nd,2014
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,115,2nd,2014
BSIT,Bachelor Of Science In Information Technology,153,2nd,2014
CRIM,Bachelor Of Science In Criminology,264,2nd,2014
BEEd,Bachelor Of Elementary Education,127,2nd,2014
BSEd,Bachelor Of Secondary Education,239,2nd,2014
BSCE,Bachelor Of Science In Civil Engineering,204,2nd,2014
BSCpE,Bachelor Of Science In Computer Engineering,207,2nd,2014
BSEE,Bachelor Of Science In Electrical Engineering,121,2nd,2014
BSHM,Bachelor Of Science In Hospitality Management,102,2nd,2014
BSTM,Bachelor Of Science In Tourism Management,188,2nd,2014
BSBIO,Bachelor Of Science In Biology,145,2nd,2014
BIT,Bachelor In Industrial Technology,198,2nd,2014
BSF,Bachelor Of Science In Fisheries,205,2nd,2014
BSM,Bachelor Of Science In Midwifery,101,2nd,2014
BSN,Bachelor Of Science In Nursing,146,2nd,2014
BSAg,Bachelor of Science in Agriculture,97,Summer,2014
BAC,Bachelor Of Arts In Communication,181,Summer,2014
POLSCI,Bachelor Of Arts In Political Science,100,Summer,2014
BSSW,Bachelor Of Science In Social Work,176,Summer,2014
BSA,Bachelor Of Science In Accountancy,85,Summer,2014
BSAIS,Bachelor Of Science In Accounting Information System,90,Summer,2014
Entrep,Bs In Entrepreneurship,72,Summer,2014
BSBA,Bachelor Of Science In Business Administration,323,Summer,2014
